title,director
Samudri Lootere,Anirban Majumder
San Pietro,John Huston
Sanai Choughade,Rajeev Patil
Sangam,Raj Kapoor
Santa Claws,Glenn Miller
Santa's Apprentice,Luc Vinciguerra
Sarah's Key,Gilles Paquet-Brenner
Sardaar ji,Rohit Jugraj
Sardaarji 2,Rohit Jugraj
Sarivar Sari,Gajendra Ahire
Sarvopari Palakkaran,Venugopan
Sat Sri Akal,Kamal Sahani
Satan & Adam,V. Scott Balcerek
Satrangi,
Satrangi Re,Aditya Sarpotdar
Satte Pe Satta,Raj N. Sippy
Saturday Church,Damon Cardasis
Savage Dog,Jesse V. Johnson
Savage Raghda,Mahmoud Karim
Save Our Shelter,
Saving Mr. Banks,John Lee Hancock
Saving Zoë,Jeffrey G. Hunt
Say When,Lynn Shelton
Scales: Mermaids Are Real,Kevan Peterson
Scandal,
Scandal in Sorrento,Dino Risi
Scary Movie,Keenen Ivory Wayans
Scary Movie 5,Malcolm D. Lee
Schindler's List,Steven Spielberg
School Daze,Spike Lee
Scooby-Doo on Zombie Island,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum"
Scott Pilgrim vs. the World,Edgar Wright
Scream 2,Wes Craven
Scream 3,Wes Craven
Seal Team Six: The Raid on Osama Bin Laden,John Stockwell
Searching for Bobby Fischer,Steven Zaillian
Searching for Sugar Man,Malik Bendjelloul
Season of the Witch,Dominic Sena
Secret,Jay Chou
Secret Affair,
Secret in Their Eyes,Billy Ray
Secrets of Althorp - The Spencers,Kasia Uscinska
Secrets of Chatsworth,Susannah Ward
Secrets of Henry VIII's Palace: Hampton Court,Sam Taplin
Secrets of Her Majesty's Secret Service,Kasia Uscinska
Secrets of Highclere Castle,Vicky Matthews
Secrets of Scotland Yard,Susannah Ward
Secrets of Selfridges,Sam Taplin
Secrets of the Tower of London,Vicky Matthews
Secrets of Underground London,"Vicky Matthews, Gareth Sacala"
Secrets of Westminster,Louise Wardle
Sen Kimsin?,Ozan Açıktan
Senna,Asif Kapadia
Sensitive Skin,
"Septiembre, un llanto en silencio",Kenneth Müller
Servant of the People,
Set Up,Mike Gunther
Sex and the City 2,Michael Patrick King
Sex and the City: The Movie,Michael Patrick King
Sex Doll,Sylvie Verheyde
"Sexo, Pudor y Lagrimas",Antonio Serrano
SGT. Will Gardner,Max Martini
Shadow of Truth,
Shahanpan Dega Deva,Sudesh Manjrekar
Shaka Zulu,
Shakti: The Power,Krishna Vamshi
Shanghai,Dibakar Banerjee
Shararat,Gurudev Bhalla
Shark Busters,Herman Yau
Shark Night,David R. Ellis
Shaurya: It Takes Courage to Make Right... Right,Samar Khan
She Did That,
Shelter,"Måns Mårlind, Björn Stein"
Sherlock,
Sherlock Holmes,Guy Ritchie
Shiva,Ram Gopal Varma
Shopkins: Chef Club,Raymond McGrath
Shopkins: Wild,"Adele K. Thomas, Richard Bailey"
Shopkins: World Vacation,Richard Bailey
Shorgul,"Jitendra Tiwari, Pranav Singh"
Short Term 12,Destin Daniel Cretton
Shorts,Robert Rodriguez
SHOT! The Psycho-Spiritual Mantra of Rock,Barney Clay
Shuddhi,Adarsh Eshwarappa
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom"
Sicilian Ghost Story,"Fabio Grassadonia, Antonio Piazza"
Sid the Science Kid,
Siddhant,Vivek Wagh
Silencer,Timothy Woodward Jr.
Silent Hill: Revelation,M.J. Bassett
Silicon Cowboys,Jason Cohen
Silver Spoon,
Sin senos no hay paraíso,
Sin Senos sí Hay Paraíso,
Singh Saab the Great,Anil Sharma
Single,Raditya Dika
Singularity,Robert Kouba
Sinister Circle,Dorian Fernández-Moris
Siren,Gregg Bishop
Sister Code,Corey Grant
Skin Trade,Ekachai Uekrongtham
Skin Wars,
Skin Wars: Fresh Paint,
Skiptrace,Renny Harlin
Sky on Fire,Ringo Lam
Skydancers,Fredric Lean
Skyline,"Colin Strause, Greg Strause"
Sleeping with Other People,Leslye Headland
Sleepover,Joe Nussbaum
Sling Blade,Billy Bob Thornton
Sliver,Phillip Noyce
Slobby's World,
Slow West,John Maclean
Small Soldiers,Joe Dante
Smart People,Noam Murro
Smash: Motorized Mayhem,
SMOSH: The Movie,Alex Winter
Sniper: Special Ops,Fred Olen Ray
Socha Na Tha,Imtiaz Ali
Social Animals,Jonathan Ignatius Green
Soekarno,Hanung Bramantyo
Solo Con Tu Pareja,Alfonso Cuarón
Solo: A Star Wars Story,Ron Howard
Solo: A Star Wars Story (Spanish Version),Ron Howard
Solomon Kane,Michael J. Bassett
Some Freaks,Ian MacAllister-McDonald
Something's Gotta Give,Nancy Meyers
Son of a Gun,Julius Avery
Sons of Ben,Jeffrey C. Bell
Sotus The Series,
Soul Surfer,Sean McNamara
Soul to Keep,"David Allensworth, Monière"
Sour Grapes,"Jerry Rothwell, Reuben Atlas"
Space Racers,
Sparkle,Sam O'Steen
Spartacus,
Speech & Debate,Dan Harris
Speed Is My Need,Mark Sloper
Spider-Man 3,Sam Raimi
Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti"
Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer"
Splash and Bubbles,
Spotlight,Tom McCarthy
Spring Breakers,Harmony Korine
Sprinter,Storm Saulter
Spy Kids,Robert Rodriguez
Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez
Spy Kids 3: Game Over,Robert Rodriguez
Spy Time,Javier Ruiz Caldera
St. Agatha,Darren Lynn Bousman
Staged Killer,Christopher Ray
Standoff,Adam Alleca
Star Men,Alison E. Rose
Star Wars: Episode VIII: The Last Jedi,Rian Johnson
Star-Crossed,
Starred Up,David Mackenzie
Station Horizon,
Stealing History,"Ola Flyum, David Hebditch"
Step Brothers,Adam McKay
Step Outside,Wael Ihsan
Stephanie,Akiva Goldsman
Sthaniya Sambaad,"Arjun Gourisaria, Moinak Biswas"
Still,"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon"
Stink!,Jon J. Whelan
Stoked,
Stone Age,
Stonehearst Asylum,Brad Anderson
Stop at Nothing: The Lance Armstrong Story,Alex Holmes
Storage Wars: Northern Treasures,
Story of an Egg,Raj B. Shetty
Straight Up,James Sweeney
Strange but True,Rowan Athale
Stranger than Fiction,Marc Forster
Strawberry Shortcake: Berry Bitty Adventures,
Strictly Ballroom,Baz Luhrmann
Strike a Pose,"Ester Gould, Reijer Zwaan"
Stripes,Ivan Reitman
Striptease,Andrew Bergman
Strong Girl Bong-soon,
Stronger Than the World,Afonso Poyart
Strongland,
Stuart Little 2,Rob Minkoff
Submission,J.M. Berrios
Suburra,Stefano Sollima
Suckseed,Chayanop Boonprakob
Sudani from Nigeria,Zakariya
Suicide (Hitabdut),Benny Fredman
Suite Française,Saul Dibb
Suits,
Summer Night,Joseph Cross
Summer of '92,Kasper Barfoed
Sunrise,Partho Sen-Gupta
Super Bheem,
Super Bheem Bana Vajraveer,Sumit Das
Super Dark Times,Kevin Phillips
Super Nani,Indra Kumar
Super Wings,
Superbad,Greg Mottola
Superfly,Gordon Parks
Superman Returns,Bryan Singer
SuperNature: Wild Flyers,
Superstar,Bruce McCulloch
Surat Dari Praha,Angga Dwimas Sasongko
Surviving R. Kelly Part II: The Reckoning,
Survivors Guide to Prison,Matthew Cooke
Susanne Bartsch: On Top,"Anthony Caronna, Alexander Smith"
Sustainable,Matt Wechsler
Swami,Basu Chatterjee
Swami Baba Ramdev: The Untold Story,
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton
Sweet Virginia,Jamie M. Dagg
Swiss Army Man,"Dan Kwan, Daniel Scheinert"
Sword Master,Derek Yee
Sword Masters: Two Champions of Shaolin,Cheh Chang
Sym-Bionic Titan,
Taal,Subhash Ghai
Tahaan,Santosh Sivan
Take Me Home Tonight,Michael Dowse
Taken,
Tales of the City (1993),
Tamanchey,Navneet Behal
Tarif de nuit,Julien Seri
Tarzan,"Chris Buck, Kevin Lima"
Tarzan 2,Brian Smith
Tattah,Sameh Abdulaziz
Tayo the Little Bus Movie: Mission Ace,Ryu Jung-woo
Teach Us All,Sonia Lowman
Teen Patti,Leena Yadav
Teenage Cocktail,John Carchietta
Teenage Mutant Ninja Turtles,Kevin Munroe
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman
Teenage Mutant Ninja Turtles: The Movie,Steve Barron
Tees Maar Khan,Farah Khan
Tellur Aliens,Einar Gabbassov
Temporada de Caza,Natalia Garagiola
Ten Years,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang"
Teresa,
Terminator 3: Rise of the Machines,Jonathan Mostow
Terminator Salvation,McG
Terra,"Yann Arthus-Bertrand, Michael Pitiot"
Terrifier,Damien Leone
Teshan,Sukhbir Singh
Tezz,Priyadarshan
Th Eena Meena Deeka Chase Comedy Show,Dheeraj Berry
Thackeray,
That '70s Show,
The 2000s,
The 24 Hour War,"Nate Adams, Adam Carolla"
The 4th Company,"Mitzi Vanessa Arreola, Amir Galvan Cervera"
The Accountant of Auschwitz,Matthew Shoychet
The Adderall Diaries,Pamela Romanowsky
The Adjusters,
The Adventure Club,Geoff Anderson
The Adventures of Figaro Pho,
The Adventures of Sharkboy and Lavagirl,Robert Rodriguez
The Adventures of Tintin,Steven Spielberg
The Aerial,Esteban Sapir
The Age of Shadows,Jee-woon Kim
The American President,Rob Reiner
The Amityville Horror,Andrew Douglas
The Andy Griffith Show,
The Angry Birds Movie 2,"Thurop Van Orman, John Rice"
The Animal People,"Denis Hennelly, Casey Suchan"
The Ant's Scream,Sameh Abdulaziz
The Apartment,
The Apostate,Federico Veiroj
The Art of the Steal,Jonathan Sobol
The Art of War,Christian Duguay
The Assignment,Walter Hill
The Autopsy of Jane Doe,André Øvredal
The Bachelor,
The Bachelors,Kurt Voelker
The Bad Education Movie,Elliot Hegarty
The Bad Kids,"Keith Fulton, Louis Pepe"
The Bare-Footed Kid,Johnnie To
The Basement,"Brian M. Conley, Nathan Ives"
The Battle of Midway,John Ford
The Beat,
The Beginning of Life: The Series,Estela Renner
The Bible's Buried Secrets,
The Big Catch,
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Tommy Avallone
The Black Room,Rolfe Kanefsky
The Blackcoat's Daughter,Osgood Perkins
The Bleeder,Philippe Falardeau
The Blue Planet: A Natural History of the Oceans,Alastair Fothergill
The Bomb,"Kevin Ford, Smriti Keshari, Eric Schlosser"
The Bomb Squad,
The Book of Eli,"Albert Hughes, Allen Hughes"
The Boss's Daughter,Olivier Loustau
The Bounty Hunter,Andy Tennant
The Box,Richard Kelly
The Boy,William Brent Bell
The Boy in the Striped Pajamas,Mark Herman
The Brave One,Neil Jordan
The Brawler,Ken Kushner
The Breadwinner,Nora Twomey
The Break-Up,Peyton Reed
The Bridge,Kunle Afolayan
The Brothers Grimm,Terry Gilliam
The Bucket List,Rob Reiner
The Bulbul's Nest,Husam El-Gohari
The Bund,
The Bye Bye Man,Stacy Title
The Bygone,"Graham Phillips, Parker Phillips"
The Cakemaker,Ofir Raul Graizer
The Calling,Bumpy
The Captive,Atom Egoyan
The Car,Elliot Silverstein
The Carter Effect,Sean Menard
The Case for Christ,Jon Gunn
The Cell,Tarek Al Eryan
The CEO,Kunle Afolayan
The Charnel House,Craig Moss
The Chefs' Line,
The Chord,Magdy Al-Hawwary
The Chosen,Antonio Chavarrías
The Chosen Ones,David Pablos
The Christmas Candle,John Stephenson
The Christmas Project,Michael Buster
The Cincinnati Kid,Norman Jewison
The Code,
The Company Men,John Wells
The Competition,Harvey Lowry
The Confirmation,Bob Nelson
The Congress,Ari Folman
The Consul's Son,Amr Arafa
The Craft,Andrew Fleming
The Cravings,
The Croods,"Kirk De Micco, Chris Sanders"
The Crow,Alex Proyas
The Cruise,Marek Piwowski
The Crying Game,Neil Jordan
The Curse of Oak Island,
The D Train,"Jarrad Paul, Andrew Mogel"
The Damned Rain,Satish Manwar
The Dancer,Ifa Isfansyah
The Dark Crystal,"Frank Oz, Jim Henson"
The Dark Side of Life: Mumbai City,Tariq Khan
The Darkest Dawn,
The Daughter,Simon Stone
The Dawn Wall,"Peter Mortimer, Josh Lowell"
The Day My Butt Went Psycho!,
The Departed,Martin Scorsese
The Desert Bride,"Cecilia Atán, Valeria Pivato"
The Detained,Blair Hayes
The Devil and Father Amorth,William Friedkin
The Devil Inside,William Brent Bell
The Devil Is a Part-Timer!,
The Devil We Know,"Stephanie Soechtig, Jeremy Seifert"
The Diabolical,Alistair Legrand
The Dreamer,Riri Riza
The Drowning,Bette Gordon
The Drunk and on Drugs Happy Funtime Hour,
The Duel,Kieran Darcy-Smith
The Dukes of Hazzard,Jay Chandrasekhar
The Dukes of Hazzard: The Beginning,Robert Berlinger
The Eichmann Show,Paul Andrew Williams
The Eighties,
The End of the Tour,James Ponsoldt
The Endless,"Justin Benson, Aaron Moorhead"
The Evil Dead,Sam Raimi
The Exception,David Leveaux
The Eyes of My Mother,Nicolas Pesce
The Fear,Michael Samuels
The Fear of 13,David Sington
The Feels,Jenée LaMarque
The Fighter,David O. Russell
The Figurine (Araromire),Kunle Afolayan
The Final Destination,David R. Ellis
The First Line,"Coerte Voorhees, John Voorhees"
The First Temptation of Christ,Rodrigo Van Der Put
The First Wives Club,Hugh WIlson
The Five,Mark Tonderai
The Five Venoms,Cheh Chang
The Flintstones,Brian Levant
The Flintstones in Viva Rock Vegas,Brian Levant
The Flying Guillotine,Meng Hua Ho
The Forbidden Kingdom,Rob Minkoff
The Force,Peter Nicks
The Foreigner,Martin Campbell
The Forgotten,Oliver Frampton
The Fosters,
The Founder,John Lee Hancock
The Free Man,Toa Fraser
The Frozen Ground,Scott Walker
The Furchester Hotel,
The Future of Water,
The Gathering,Nia Dinata
The Gentleman Driver,Mario Mattei
The Ghost Who Walks,Cody Stokes
The Girl with the Dragon Tattoo,David Fincher
The Golden Years with Javed Akhtar,
The Golem,"Doron Paz, Yoav Paz"
The Good Catholic,Paul Shoulberg
The Good Neighbor,Kasra Farahani
"The Goods: Live Hard, Sell Hard",Neal Brennan
The Gospel of John,David Batty
The Gospel of Luke,David Batty
The Gospel of Mark,David Batty
The Gospel of Matthew,David Batty
The Great Battle,
The Great British Baking Show: Masterclass,
The Great Gambler,Shakti Samanta
The Great Raid,John Dahl
The Great Train Robbery,
The Green Hornet,Michel Gondry
The Guild,
The Hatred,Michael G. Kehoe
The Haunting of Molly Hartley,Mickey Liddell
The Healer,Paco Arango
The Heat: A Kitchen (R)evolution,Maya Gallus
The Help,Tate Taylor
The Heretics,Chad Archibald
The Heroes of Evil,Zoe Berriatúa
The Heyday of the Insensitive Bastards,"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White"
The Hollow Point,Gonzalo López-Gallego
The Holy Man,Note Chern-Yim
The Homecoming,
The House on Coco Road,Damani Baker
The House That Made Me,
The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee
The Humanity Bureau,Rob W. King
The Hundred-Foot Journey,Lasse Hallström
The Hunt,
The Hurricane Heist,Rob Cohen
The Hurt Business,Vlad Yudin
The Imaginarium of Doctor Parnassus,Terry Gilliam
The Inbetweeners,
The Incident,Isaac Ezban
The Incredible Story of the Giant Pear,"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick"
The Incredibles 2,Brad Bird
The Indian in the Cupboard,Frank Oz
The Informant!,Steven Soderbergh
The Intent,"Femi Oyeniran, Kalvadour Peterson"
The Intent 2: The Come Up,"Femi Oyeniran, Nicky Slimting Walker"
The Invention of Lying,"Ricky Gervais, Matthew Robinson"
The Investigator: A British Crime Story,
The Invitation,Karyn Kusama
The Irish Mob,
The Iron Lady,Phyllida Lloyd
The Jack King Affair,"Benjamin Cohen, Nicolas Cotto"
The Jaime Maussan Show,
The Jane Austen Book Club,Robin Swicord
The Jungle Book,
The Jungle School,Riri Riza
The Keeping Hours,Karen Moncrieff
The Kindness Diaries,
The King's Speech,Tom Hooper
The L Word,
The Lady in Dignity,
The Lake House,Alejandro Agresti
The Lamb,Timothy Reckart
The Land of the Enlightened,Pieter-Jan De Pue
The Last Days of Chez Nous,Gillian Armstrong
The Last Exorcism,Daniel Stamm
The Last Face,Sean Penn
The Last Hangover,Rodrigo Van Der Put
The Last Man on the Moon,Mark Craig
The Last Resort,"Dennis Scholl, Kareem Tabsch"
The Last Whistle,Rob Smat
The Legend of 420,Peter Spirer
The Legend of Michael Mishra,Manish Jha
The Liar,
The Little Hours,Jeff Baena
The Little Mermaid,"Blake Harris, Chris Bouchard"
The Little Prince,Mark Osborne
The Lives of Others,Florian Henckel von Donnersmarck
The Lizzie Borden Chronicles,
The Lobster,Yorgos Lanthimos
The Lodgers,Brian O'Malley
The Long Goodbye: The Kara Tippetts Story,Jay Lyons
The Longest Yard,Robert Aldrich
The Longshots,Fred Durst
The Look of Silence,Joshua Oppenheimer
The Lord of the Rings: The Return of the King,Peter Jackson
The Lord of the Rings: The Two Towers,Peter Jackson
The Love Guru,Marco Schnabel
The Lovers and the Despot,"Robert Cannan, Ross Adam"
The lynx,Stanisław Różewicz
The Mad Monk,Johnny To
The Magic Pill,Robert Tate
The Making of Frozen Planet,
The Man Who Would Be Polka King,"John Mikulak, Joshua Brown"
The Mask of Zorro,Martin Campbell
The Matrix,"Lilly Wachowski, Lana Wachowski"
The Matrix Reloaded,"Lilly Wachowski, Lana Wachowski"
The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski"
The Mayo Clinic,"Ken Burns, Christopher Loren Ewers, Erik Ewers"
The Mayor,Park In-je
"The Memphis Belle: A Story of a
Flying Fortress",William Wyler
The Men Who Stare at Goats,Grant Heslov
The Messengers,
The Mind of a Chef,
The Minimighty Kids,
The Ministry of Time,
The Model,Mads Matthiesen
The Monster,Bryan Bertino
The Monster of Mangatiti,John Banas
The Mortified Guide,
The Most Beautiful Hands of Delhi,
The Muppets,James Bobin
The Murder Detectives,
The Music of Silence,Michael Radford
The Naked Gun 2 1/2: The Smell of Fear,David Zucker
The Naked Gun: From the Files of Police Squad!,David Zucker
The Natural,Barry Levinson
The Negro Soldier,Stuart Heisler
The Netflix Afterparty,
The New Romantic,Carly Stone
The Nineties,
The NSU-Complex,"Stefan Aust, Dirk Laabs"
The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston"
The Office (U.S.),
The One I Love,Charlie McDowell
The Only Mother To You All,Wenn V. Deramas
The Other Guys,Adam McKay
The Parole Officer,John Duigan
The Pass,Ben A. Williams
The Peacemaker,Mimi Leder
The Pelican Brief,Alan J. Pakula
The Perfect Day,Jean-Pierre Devillers
The Perks of Being a Wallflower,Stephen Chbosky
The Phantom of the Opera,Joel Schumacher
The Physician,Philipp Stölzl
The Pink Panther,Shawn Levy
The Pirate Fairy,Peggy Holmes
The Pirates of Somalia,Bryan Buckley
The Pirates! Band of Misfits,"Peter Lord, Jeff Newitt"
The Place Beyond the Pines,Derek Cianfrance
The Plan,Keerthi
The Player,Ahmad El-Badri
The Polar Express,Robert Zemeckis
The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,"Randall Lobb, Robert McCallum"
The President's Barber,Chan-sang Lim
The Prince,Brian A. Miller
The Prince & Me,Martha Coolidge
The Princess and the Frog,"Ron Clements, John Musker"
The Prison,Na Hyeon
The Pursuit,John Papola
The Pursuit of Happyness,Gabriele Muccino
The Push,"Grant Korgan, Brian Niles"
The Pyramid Code,
The Rainbow Troops,Riri Riza
The Rainmaker,Francis Ford Coppola
The Rap Game,
The Rat Race,Miriam Chandy Menacherry
The Real Football Factories,
The Real Miyagi,Kevin Derek
The Rebound,Shaina Allen
The Redeemed and the Dominant: Fittest on Earth,"Heber Cannon, Mariah Moore, Marston Sawyers"
The Rehearsal,Alison MacLean
The Republic of Imbaba,Ahmed Al-Badry
The Returned,
The Rezort,Steve Barker
The Rift: The Dark Side of the Moon,Dejan Zečević
The Right One,Hadi El Bagoury
The Ring,Gore Verbinski
The Riot Club,Lone Scherfig
The River Thief,N.D. Wilson
The River Wild,Curtis Hanson
The Road to Calvary,
The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,Paul Dugdale
The Roommate,Christian E. Christiansen
The Rover,David Michôd
THE RUM DIARY,Bruce Robinson
The Runner,Austin Stark
The Salvation,Kristian Levring
The Sapphires,Wayne Blair
The Score,Frank Oz
The Sea of Trees,Gus Van Sant
The Search for Life in Space,Stephen Amezdroz
The Secret Life of Pets 2,Chris Renaud
The Seven Five,Tiller Russell
The Seventies,
The Shaukeens,Abhishek Sharma
The Show,Giancarlo Esposito
The Sign of Venus,Dino Risi
The Signal,"William Eubank, Will Eubank"
The Similars,Isaac Ezban
The Sinking Of Van Der Wijck,Sunil Soraya
The Sniffer,
The Social Network,David Fincher
The Space Between Us,Peter Chelsom
The Spectacular Now,James Ponsoldt
The spiral,Krzysztof Zanussi
The Spy Next Door,Brian Levant
The Spy Who Fell to Earth,Thomas Meadmore
The Stanford Prison Experiment,Kyle Patrick Alvarez
The Story of God with Morgan Freeman,
The Story of Us with Morgan Freeman,
The Student,Steven R. Monroe
The Sunshine Makers,Cosmo Feilding-Mellen
The Super,Stephan Rick
The Super Mario Bros. Super Show!,
The Surrounding Game,"Will Lockhart, Cole D. Pruitt"
The Taking of Pelham 123,Tony Scott
The Talented Mr. Ripley,Anthony Minghella
The Texas Chainsaw Massacre,Tobe Hooper
The Thief and the Imbecile,"Mohammed El-Tahawy, Mohamed Mostafa"
The Tiger Hunter,Lena Khan
The Tigers of Scotland,Leanne Gater
The Time Machine,Simon Wells
The Time Traveler's Wife,Robert Schwentke
The Traffickers,
The Tribes of Palos Verdes,"Brendan Malloy, Emmett Malloy"
The Trigger Effect,David Koepp
The Trip to Spain,Michael Winterbottom
The Trust,"Ben Brewer, Alex Brewer"
The Truth About Alcohol,David Briggs
The Tudors,
The Tuxedo,Kevin Donovan
The Twilight Zone (Original Series),
The Ugly Truth,Robert Luketic
The Unborn Child,Poj Arnon
The Underwear,
The Universe,
The Unknown Girl,"Jean-Pierre Dardenne, Luc Dardenne"
The Unknown Known,Errol Morris
The Vatican Tapes,Mark Neveldine
The Vietnam War: A Film by Ken Burns and Lynn Novick,"Ken Burns, Lynn Novick"
The Walls of the Moon,"Ossama Abu El Atta, Tarek Al Eryan"
The War: A Film by Ken Burns and Lynn Novick,
The Water Diviner,Russell Crowe
The Water Horse: Legend of the Deep,Jay Russell
The Waterboy,Frank Coraci
The Wedding Curse,Chito S. Roño
The Wedding Party 2: Destination Dubai,Niyi Akinmolayan
The West Wing,
The Witch,Robert Eggers
The Witch Files,Kyle Rankin
